Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
,Silent Journey 1,2014,R,113 min,"Animation, Adventure, Family",6.9,"A story about silent journey 1, filled with memorable characters, challenges, and unexpected events.",79,Director 23,Actor 303,Actor 217,Actor 17,Actor 16,439895,"726,700,539"
,Hidden River 2,1949,R,88 min,"War, Drama",7.7,"A story about hidden river 2, filled with memorable characters, challenges, and unexpected events.",89,Director 140,Actor 215,Actor 113,Actor 230,Actor 302,843985,"768,920,204"
,Midnight Journey 3,2017,UA,174 min,"Romance, Drama",8.7,"A story about midnight journey 3, filled with memorable characters, challenges, and unexpected events.",58,Director 246,Actor 391,Actor 173,Actor 53,Actor 48,1437114,"298,462,082"
,Secret Dream 4,1965,PG,162 min,"Crime, Drama",8.8,"A story about secret dream 4, filled with memorable characters, challenges, and unexpected events.",79,Director 32,Actor 499,Actor 473,Actor 194,Actor 41,192244,"783,643,540"
,American Story 5,2000,R,195 min,"Horror, Mystery",8.0,"A story about american story 5, filled with memorable characters, challenges, and unexpected events.",49,Director 12,Actor 339,Actor 117,Actor 396,Actor 149,2431590,"206,568,299"
,Hidden Mountain 6,1932,A,143 min,"Horror, Mystery",7.3,"A story about hidden mountain 6, filled with memorable characters, challenges, and unexpected events.",58,Director 172,Actor 137,Actor 360,Actor 480,Actor 350,692220,"397,578,786"
,Hidden War 7,2001,PG,178 min,"Comedy, Romance",6.6,"A story about hidden war 7, filled with memorable characters, challenges, and unexpected events.",62,Director 237,Actor 328,Actor 353,Actor 286,Actor 113,695359,"496,448,124"
,Falling Promise 8,1949,U,188 min,"Drama, Romance",8.7,"A story about falling promise 8, filled with memorable characters, challenges, and unexpected events.",58,Director 234,Actor 483,Actor 291,Actor 449,Actor 368,1692607,"287,584,583"
,Falling River 9,2003,UA,198 min,"Sci-Fi, Adventure",7.6,"A story about falling river 9, filled with memorable characters, challenges, and unexpected events.",60,Director 191,Actor 288,Actor 276,Actor 135,Actor 383,609246,"284,512,919"
,Little Hope 10,1994,U,113 min,"Animation, Adventure, Family",7.3,"A story about little hope 10, filled with memorable characters, challenges, and unexpected events.",93,Director 13,Actor 441,Actor 57,Actor 79,Actor 322,2147108,"530,008,599"
,Golden Hope 11,1996,PG-13,133 min,"Sci-Fi, Adventure",6.2,"A story about golden hope 11, filled with memorable characters, challenges, and unexpected events.",100,Director 242,Actor 6,Actor 349,Actor 370,Actor 59,2229266,"270,053,851"
,American Empire 12,2018,PG,99 min,Drama,8.1,"A story about american empire 12, filled with memorable characters, challenges, and unexpected events.",45,Director 245,Actor 370,Actor 449,Actor 369,Actor 135,1833537,"169,920,594"
,Beautiful Legacy 13,1984,UA,196 min,Drama,9.0,"A story about beautiful legacy 13, filled with memorable characters, challenges, and unexpected events.",54,Director 96,Actor 391,Actor 83,Actor 277,Actor 489,2139292,"653,976,785"
